"query","search interest","increase percent"
"불꽃 야구",4,"Breakout"
"케이팝 데몬 헌터 스",3,"Breakout"
"올 데이 프로젝트",3,"Breakout"
"소다 팝",2,"Breakout"
"이탈리안 브레인 롯",2,"Breakout"
"쿄카",2,"4,700%"
"그로우 어 가든",2,"4,400%"
"미지 의 서울",1,"3,500%"
"견우 와 선녀",1,"3,200%"
"대선 토론",2,"2,650%"
"말킥",1,"2,050%"
"세븐 나이츠 리버스",2,"1,950%"
"신병 3",2,"1,750%"
"제니 코 첼라",1,"1,350%"
"김문수",5,"1,100%"
"이정후",5,"1,000%"
"하트 페어링",3,"800%"
"너 에게 닿기 를",3,"750%"
"스 우파",6,"600%"
"마비노기 모바일",3,"550%"
"김혜성",2,"550%"
"시작 의 아이",3,"550%"
"msi",1,"500%"
"홀덤",10,"500%"
"약한 영웅",2,"400%"
"신지",3,"300%"
"이준석",6,"300%"
"호치민",1,"300%"
"골든",4,"300%"
"한화 이글스",3,"300%"
"독수리 오형제 를 부탁해",1,"250%"
"롯데 자이언츠",2,"200%"
"진격 의거 인",4,"200%"
"이재명",17,"160%"
"이술 인",2,"160%"
"야구",14,"150%"
"김동희 세계관",1,"150%"
"이주은",1,"140%"
"두산 에너 빌리티",1,"140%"
"바카라 생방송",21,"120%"
"삼성 라이온즈",1,"90%"
"lck",9,"80%"
"사장 남천동",2,"60%"
"라이벌",5,"60%"
"피식 대학",1,"60%"
"t1",3,"60%"
"남천동",3,"50%"
"한동훈",3,"50%"
"찰스 엔터",2,"50%"
"기아 타이거즈",1,"50%"
